id,CRIM,ZN,INDUS,CHAS,NOX,RM
1,0.00632,18.00,2.310,0,0.5380,6.5750
2,0.02731,0.00,7.070,0,0.4690,6.4210
3,0.02729,0.00,7.070,0,0.4690,7.1850
4,0.03237,0.00,2.180,0,0.4580,6.9980
5,0.06905,0.00,2.180,0,0.4580,7.1470
6,0.08829,12.50,7.870,0,0.5240,6.0120
7,0.14455,12.50,7.870,0,0.5240,6.1720
8,0.21124,12.50,7.870,0,0.5240,5.6310
9,0.17004,12.50,7.870,0,0.5240,6.0040
10,0.11747,12.50,7.870,0,0.5240,6.0090
11,0.09378,12.50,7.870,0,0.5240,5.8890
12,0.62976,0.00,8.140,0,0.5380,5.9490
13,0.63796,0.00,8.140,0,0.5380,6.0960
14,0.62739,0.00,8.140,0,0.5380,5.8340
15,1.05393,0.00,8.140,0,0.5380,5.9350
16,0.78420,0.00,8.140,0,0.5380,5.9900
17,0.80271,0.00,8.140,0,0.5380,5.4560
18,0.72580,0.00,8.140,0,0.5380,5.7270
19,1.25179,0.00,8.140,0,0.5380,5.5700
20,0.85204,0.00,8.140,0,0.5380,5.9650
21,1.23247,0.00,8.140,0,0.5380,6.1420
22,0.98843,0.00,8.140,0,0.5380,5.8130
23,0.84054,0.00,8.140,0,0.5380,5.5990
24,0.67191,0.00,8.140,0,0.5380,5.8130
25,0.95577,0.00,8.140,0,0.5380,6.0470
26,0.77299,0.00,8.140,0,0.5380,6.4950
27,1.00245,0.00,8.140,0,0.5380,6.6740
28,1.13081,0.00,8.140,0,0.5380,5.7130
29,1.38799,0.00,8.140,0,0.5380,5.9500
30,1.15172,0.00,8.140,0,0.5380,5.7010
31,1.61282,0.00,8.140,0,0.5380,6.0960
32,0.06417,0.00,5.960,0,0.4990,5.9330
33,0.09744,0.00,5.960,0,0.4990,5.8410
34,0.08014,0.00,5.960,0,0.4990,5.8500
35,0.17505,0.00,5.960,0,0.4990,5.9660
36,0.03359,75.00,2.950,0,0.4280,7.0240
37,0.12744,0.00,6.910,0,0.4480,6.7700
38,0.14150,0.00,6.910,0,0.4480,6.1690
39,0.15936,0.00,6.910,0,0.4480,6.2110
