id,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
1,65.20,4.0900,1,296.0,15.30,396.90,4.98,24.00
2,78.90,4.9671,2,242.0,17.80,396.90,9.14,21.60
3,61.10,4.9671,2,242.0,17.80,392.83,4.03,34.70
4,45.80,6.0622,3,222.0,18.70,394.63,2.94,33.40
5,54.20,6.0622,3,222.0,18.70,396.90,5.33,36.20
6,66.60,5.5605,5,311.0,15.20,395.60,12.43,22.90
7,96.10,5.9505,5,311.0,15.20,396.90,19.15,27.10
8,100.00,6.0821,5,311.0,15.20,386.63,29.93,16.50
9,85.90,6.5921,5,311.0,15.20,386.71,17.10,18.90
10,82.90,6.2267,5,311.0,15.20,396.90,13.27,18.90
11,39.00,5.4509,5,311.0,15.20,390.50,15.71,21.70
12,61.80,4.7075,4,307.0,21.00,396.90,8.26,20.40
13,84.50,4.4619,4,307.0,21.00,380.02,10.26,18.20
14,56.50,4.4986,4,307.0,21.00,395.62,8.47,19.90
15,29.30,4.4986,4,307.0,21.00,386.85,6.58,23.10
16,81.70,4.2579,4,307.0,21.00,386.75,14.67,17.50
17,36.60,3.7965,4,307.0,21.00,288.99,11.69,20.20
18,69.50,3.7965,4,307.0,21.00,390.95,11.28,18.20
19,98.10,3.7979,4,307.0,21.00,376.57,21.02,13.60
20,89.20,4.0123,4,307.0,21.00,392.53,13.83,19.60
21,91.70,3.9769,4,307.0,21.00,396.90,18.72,15.20
22,100.00,4.0952,4,307.0,21.00,394.54,19.88,14.50
23,85.70,4.4546,4,307.0,21.00,303.42,16.51,13.90
24,90.30,4.6820,4,307.0,21.00,376.88,14.81,16.60
25,88.80,4.4534,4,307.0,21.00,306.38,17.28,14.80
26,94.40,4.4547,4,307.0,21.00,387.94,12.80,18.40
27,87.30,4.2390,4,307.0,21.00,380.23,11.98,21.00
28,94.10,4.2330,4,307.0,21.00,360.17,22.60,12.70
29,82.00,3.9900,4,307.0,21.00,232.60,27.71,13.20
30,95.00,3.7872,4,307.0,21.00,358.77,18.35,13.10
31,96.90,3.7598,4,307.0,21.00,248.31,20.34,13.50
32,68.20,3.3603,5,279.0,19.20,396.90,9.68,18.90
33,61.40,3.3779,5,279.0,19.20,377.56,11.41,20.00
34,41.50,3.9342,5,279.0,19.20,396.90,8.77,21.00
35,30.20,3.8473,5,279.0,19.20,393.43,10.13,24.70
36,15.80,5.4011,3,252.0,18.30,395.62,1.98,34.90
37,2.90,5.7209,3,233.0,17.90,385.41,4.84,26.60
38,6.60,5.7209,3,233.0,17.90,383.37,5.81,25.30
39,6.50,5.7209,3,233.0,17.90,394.46,7.44,24.70
40,40.00,5.7209,3,233.0,17.90,389.39,9.55,21.20
41,33.30,5.1004,3,233.0,17.90,396.90,14.15,20.00
42,85.50,5.6894,3,233.0,17.90,392.74,18.80,16.60
43,95.30,5.8700,3,233.0,17.90,396.90,30.81,14.40
44,62.00,6.0877,3,233.0,17.90,396.90,16.20,19.40
45,45.70,6.8147,4,243.0,16.80,395.56,13.45,19.70
46,63.00,6.8147,4,243.0,16.80,393.97,9.43,20.50
47,21.10,6.8147,4,243.0,16.80,396.90,5.28,25.00
48,21.40,6.8147,4,243.0,16.80,396.90,8.43,23.40
49,35.70,9.1876,2,313.0,17.30,396.90,5.77,24.70
50,40.50,8.3248,5,256.0,15.10,392.90,3.95,31.60
51,29.20,7.8148,8,284.0,19.70,390.68,6.86,23.30
52,47.20,6.9320,8,284.0,19.70,396.90,9.22,19.60
53,66.20,7.2254,8,284.0,19.70,395.11,13.15,18.70
54,93.40,6.8185,8,284.0,19.70,378.08,14.44,16.00
55,67.80,7.2255,8,284.0,19.70,396.90,6.73,22.20
56,43.40,7.9809,8,284.0,19.70,395.58,9.50,25.00
57,59.50,9.2229,3,216.0,18.60,393.24,8.05,33.00
58,17.80,6.6115,4,337.0,16.10,396.90,4.67,23.50
59,31.10,6.6115,4,337.0,16.10,396.90,10.24,19.40
60,21.40,6.4980,4,345.0,18.90,396.21,8.10,22.00
61,36.80,6.4980,4,345.0,18.90,396.90,13.09,17.40
62,33.00,6.4980,4,345.0,18.90,396.90,8.79,20.90
63,6.60,5.2873,4,305.0,19.20,383.73,6.72,24.20
64,17.50,5.2873,4,305.0,19.20,376.94,9.88,21.70
65,7.80,5.2873,4,305.0,19.20,390.91,5.52,22.80
66,6.20,5.2873,4,305.0,19.20,377.17,7.54,23.40
67,6.00,4.2515,5,398.0,18.70,394.92,6.78,24.10
68,45.00,4.5026,5,398.0,18.70,383.23,8.94,21.40
69,45.80,4.0905,5,398.0,18.70,386.96,10.27,20.80
70,53.70,5.0141,5,398.0,18.70,386.40,12.34,21.20
71,33.50,5.4007,4,281.0,19.00,396.90,5.29,28.00
72,32.20,5.4007,4,281.0,19.00,396.90,6.72,24.80
73,46.70,5.4007,4,281.0,19.00,390.64,7.51,22.90
74,48.00,4.7794,3,247.0,18.50,396.90,9.62,23.90
75,56.10,4.4377,3,247.0,18.50,392.30,6.53,26.60
76,56.80,3.7476,3,247.0,18.50,395.15,8.44,22.20
77,86.30,3.4217,2,270.0,17.80,396.90,5.50,23.60
78,63.10,3.4145,2,270.0,17.80,396.06,5.70,28.70
79,66.10,3.0923,2,270.0,17.80,392.18,8.81,22.60
80,73.90,3.0921,2,270.0,17.80,393.55,8.20,22.00
81,28.90,3.6659,4,270.0,18.20,396.33,6.21,25.00
82,77.30,3.6150,4,270.0,18.20,396.90,10.59,20.60
83,57.80,3.4952,2,276.0,18.00,357.98,6.65,28.40
84,69.60,3.4952,2,276.0,18.00,391.83,11.34,21.40
85,76.00,3.4952,2,276.0,18.00,396.90,4.21,38.70
86,36.90,3.4952,2,276.0,18.00,393.53,3.57,43.80
87,62.50,3.4952,2,276.0,18.00,396.90,6.19,33.20
88,79.90,2.7778,5,384.0,20.90,394.76,9.42,27.50
89,71.30,2.8561,5,384.0,20.90,395.58,7.67,26.50
90,87.40,2.7147,5,384.0,20.90,394.47,13.44,19.30
91,90.00,2.4210,5,384.0,20.90,392.69,12.33,20.10
92,96.70,2.1069,5,384.0,20.90,394.05,16.47,19.50
93,91.90,2.2110,5,384.0,20.90,395.67,18.66,19.50
94,97.10,2.4329,5,384.0,20.90,395.24,12.27,19.80
