originId,id,MEDV
1,1,8.5000
2,2,5.0000
3,3,11.9000
4,4,27.9000
5,5,17.2000
6,6,27.5000
7,7,15.0000
8,8,17.2000
9,9,17.9000
10,10,16.3000
11,11,7.0000
12,12,7.2000
13,13,7.5000
14,14,10.4000
15,15,8.8000
16,16,8.4000
17,17,16.7000
18,18,14.2000
19,19,20.8000
20,20,13.4000
21,21,11.7000
22,22,8.3000
23,23,10.2000
24,24,10.9000
25,5,11.0000
26,26,9.5000
27,27,14.5000
28,28,14.1000
29,29,16.1000
30,30,14.3000
31,31,11.7000
32,32,13.4000
33,33,9.6000
34,34,8.7000
35,35,8.4000
36,36,12.8000
37,37,10.5000
38,38,17.1000
39,39,18.4000
40,40,15.4000
41,41,10.8000
42,42,11.8000
43,43,14.9000
44,44,12.6000
45,45,14.1000
46,46,13.0000
47,47,13.4000
48,48,15.2000
49,49,16.1000
50,50,17.8000
51,51,14.9000
52,52,14.1000
53,53,12.7000
54,54,13.5000
55,55,14.9000
56,56,20.0000
57,57,16.4000
58,58,17.7000
59,59,19.5000
60,60,20.2000
61,61,21.4000
62,62,19.9000
63,63,19.0000
64,64,19.1000
65,65,19.1000
66,66,20.1000
67,67,19.9000
68,68,19.6000
69,69,23.2000
70,70,29.8000
71,71,13.8000
72,72,13.3000
73,73,16.7000
74,74,12.0000
75,75,14.6000
76,76,21.4000
77,77,23.0000
78,78,23.7000
79,79,25.0000
80,80,21.8000
81,81,20.6000
82,82,21.2000
83,83,19.1000
84,84,20.6000
85,85,15.2000
86,86,7.0000
87,87,8.1000
88,88,13.6000
89,89,20.1000
90,90,21.8000
91,91,24.5000
92,92,23.1000
93,93,19.7000
94,94,18.3000
95,95,21.2000
96,96,17.5000
97,97,16.8000
98,98,22.4000
99,99,20.6000
100,100,23.9000
101,101,22.0000
102,102,11.9000
