id,CRIM,ZN,INDUS,CHAS,NOX
1,-0.0405,0.0664,-0.3236,-0.0692,-0.0344
2,-0.0403,-0.1136,-0.1491,-0.0692,-0.1763
3,-0.0403,-0.1136,-0.1491,-0.0692,-0.1763
4,-0.0403,-0.1136,-0.3283,-0.0692,-0.1990
5,-0.0398,-0.1136,-0.3283,-0.0692,-0.1990
6,-0.0403,-0.1136,-0.3283,-0.0692,-0.1990
7,-0.0396,0.0114,-0.1197,-0.0692,-0.0632
8,-0.0390,0.0114,-0.1197,-0.0692,-0.0632
9,-0.0382,0.0114,-0.1197,-0.0692,-0.0632
10,-0.0387,0.0114,-0.1197,-0.0692,-0.0632
11,-0.0381,0.0114,-0.1197,-0.0692,-0.0632
12,-0.0393,0.0114,-0.1197,-0.0692,-0.0632
13,-0.0396,0.0114,-0.1197,-0.0692,-0.0632
14,-0.0335,-0.1136,-0.1099,-0.0692,-0.0344
15,-0.0334,-0.1136,-0.1099,-0.0692,-0.0344
16,-0.0336,-0.1136,-0.1099,-0.0692,-0.0344
17,-0.0288,-0.1136,-0.1099,-0.0692,-0.0344
18,-0.0318,-0.1136,-0.1099,-0.0692,-0.0344
19,-0.0316,-0.1136,-0.1099,-0.0692,-0.0344
20,-0.0325,-0.1136,-0.1099,-0.0692,-0.0344
21,-0.0265,-0.1136,-0.1099,-0.0692,-0.0344
22,-0.0310,-0.1136,-0.1099,-0.0692,-0.0344
23,-0.0268,-0.1136,-0.1099,-0.0692,-0.0344
24,-0.0295,-0.1136,-0.1099,-0.0692,-0.0344
25,-0.0322,-0.1136,-0.1099,-0.0692,-0.0344
26,-0.0312,-0.1136,-0.1099,-0.0692,-0.0344
27,-0.0331,-0.1136,-0.1099,-0.0692,-0.0344
28,-0.0299,-0.1136,-0.1099,-0.0692,-0.0344
29,-0.0319,-0.1136,-0.1099,-0.0692,-0.0344
30,-0.0293,-0.1136,-0.1099,-0.0692,-0.0344
31,-0.0279,-0.1136,-0.1099,-0.0692,-0.0344
32,-0.0254,-0.1136,-0.1099,-0.0692,-0.0344
33,-0.0250,-0.1136,-0.1099,-0.0692,-0.0344
34,-0.0277,-0.1136,-0.1099,-0.0692,-0.0344
35,-0.0225,-0.1136,-0.1099,-0.0692,-0.0344
36,-0.0399,-0.1136,-0.1898,-0.0692,-0.1146
37,-0.0395,-0.1136,-0.1898,-0.0692,-0.1146
